ID,名称,年代,规格,简介,图片url
108,明洪武景德镇窑釉里红寿石花卉纹大瓷盘,明洪武,高10.1 ， 口径58.3， 足径35 厘米,厚唇折沿，圈足大而整齐平削，砂底，有明显红色胎浆刷痕，釉里红泛黑灰色，红色，不匀；盘里部饰纹三重，中心以寿石，牡丹，山茶，菊花，茗茶各一枝构成主题纹样，意为长命富贵，盘边饰一圈卷草纹，中饰一圈由牡丹，山茶，菊花，茗茶组成的装饰纹样，花卉均留白边，有的花卉呈1.2.2形，此盘具备洪武瓷的典型风格，参阅《本草纲目》。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6385-A-1.png
109,明洪武景德镇釉里红寿石花卉纹大瓷盘,明洪武,口径57.3， 足径35.4， 高10.4 厘米,"厚唇折沿,圈足大而整齐平削,砂底有明显红色胎浆水刷痕,釉里红泛红色,局部黑灰色,盘里部饰纹三重,中心以寿石、三枝牡丹纹构成主题纹样,意为长命富贵。边饰一圈卷草纹。中间一层是由牡丹、山茶、菊花茗茶组成的纹样;盘外壁饰缠枝宝相花、洋莲组成的纹样；花卉均留白边,有的花叶呈1·2·2形；此盘具备洪武瓷的典型风格。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6388-A-1.png
110,无标题,无年代,无尺寸,无简介,无图片
111,明成化官窑青花松竹梅纹瓷盘,明成化,通高4.8 ， 口径21.7，  足径13 厘米,圈足，凹底，成化釉肥润，青花色泽淡雅。盘内中心画“松、竹、梅、岁寒三友图”，盘内壁画面为变体缠枝，灵芝纹外壁为对衬两幅松、竹、梅图。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6392-A-1.png
112,明成化官窑青花“喜报多子”图瓷盘,明成化,"通高4.5,口径20.7，足径12.2 厘米",圈足，凹底，釉滋润，泛青。盘内中心画面为：一对喜鹊栖息在一株石榴树上，寓有喜报多子之意。外壁画有石榴树、桃树、山茶树各一株，上面各栖息有一对喜鹊，底有青花方胜款。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6393-A-1.png
113,明成化官窑青花来菔菜纹瓷盘,明成化,口径20，足径11.9，高4 厘米,圈足，凹底，釉色滋润，泛青，盘内中心画面为一束肥壮的莱菔菜，盘外壁为缠枝莲花纹。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6394-A-1.png
114,明成化官窑青花宝相花纹瓷盘,明成化,"通高4.7,口径21.6，足径13.3 厘米",圈足，凹底，釉肥润泛青，青花色泽清淡。盘内中心画面为一枝宝相花图案，盘外壁绘宝相花图案。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6395-A-1.png
115,明成化官窑青花西番莲纹瓷盘,明成化,"通高4.8,口径21.2，底径13.9 厘米",圈足，凹底，釉肥润泛青，青花色泽较深沉。盘内中心绘一枝西番莲图案，盘外壁绘缠枝宝相花图案。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6396-A-1.png
116,明成化官窑青花莲花纹瓷盘,明成化,口径17.6，底足径10.5，高4.2 厘米,圈足，凹底，釉色泛青，青花色泽较深沉，盘内绘莲花纹，盘外壁绘菊花图案纹。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6397-A-1.png
117,明洪武白地红彩云龙纹瓷盘残片,明洪武（1369-1399年）,残高3.6，口径约9.4 厘米,明洪武瓷器标本，瓷胎薄而洁白，里外施白釉，细腻滋润，细砂底呈现“窑红”。盘外壁里外绘五爪红釉龙纹，盘里心绘红釉三朵品字云，造型、饰纹精致，为明洪武时期所少见。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6452-A-1.png
118,清康熙青花“万寿”纹大尊,清康熙（1662-1722年）,口径38，底径28，高77 厘米,此尊口微撇，方唇，唇外近直，颈较短，丰肩以下向内斜收，足部圆鼓凸起一圈，砂底，器身有二道接痕，胎体厚重，器外施釉到底，器内施满釉，它周身上下用青花釉色写满一万个不重复的纂体“寿”字。此类大尊是景德镇御窑厂专为庆贺康熙皇帝六十大寿而烧造，寓意万寿无疆。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6477-A-1.png
119,无标题,无年代,无尺寸,无简介,无图片
120,明弘治黄釉绶带耳瓷尊,明弘治（公元1488-1506年）,高31，口径18.5，底径17.5 厘米,此尊里白外黄，器形较大，收口，溜肩，敛腹，平砂底，有火石红斑，口至肩处饰有绶带双耳，双耳及口沿处有描金（多处剥落）。器底附有纸笺，上书“春二千一百七十五号”为清宫遗物。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6480-D-1.png
121,明弘治黄釉瓷碗,明弘治,"高8.1,口径18.4，底径7.2 厘米",此碗附一纸笺，上有“清室善后委员会”，“一一二九”，“84”字样，断为清宫遗物，经张浦生先生鉴定，为馆藏二级文物。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6481-A-1.png
122,明弘治黄釉瓷碗,明弘治,"高8.5,口径20.05，底径8.1 厘米",此碗和<2:6481>碗同出一处，为清宫遗物，经张浦生先生鉴赏，鉴定为馆藏二级文物。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6482-E-1.png
123,清乾隆粉彩婴戏图灯笼瓷瓶,清乾隆,"高30.5,口径11，底径9.8 厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6549-A-1.png
124,元龙泉窑青釉刻缠枝莲瓷罐,元,高23.5，口径25.2，底径18.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6581-A-1.png
125,明永乐青花缠枝花卉纹折沿洗,明永乐,"高13.6,口径30.9，底径23.5 厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6587-A-1.png
126,明嘉靖青花云龙纹瓷盖罐,明嘉靖,"通高64,口径25.5，底径29.5 厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6588-A-1.png
127,清康熙豆青地粉彩花鸟纹圆形瓷花盆,清康熙,"高32.8,口径59.7，底径40.5 厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6589-A-1.png
128,清康熙豆青地粉彩花鸟纹圆形瓷花盆,清康熙,"高32.8,口径60.3，底径45 厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6590-A-1.png
129,清康熙斗彩和合二仙纹菱花口瓷花盆,清康熙,高32， 最大口径58.5 ，最大底径41 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6592-A-1.png
130,清光绪绿地粉彩花鸟纹圆形瓷缸,清光绪,"高44.5,口径42.5，底径39 厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6595-A-1.png
131,清光绪绿地粉彩花鸟纹圆形瓷缸,清光绪,"高29.5,口径33.9，底径22.8 厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6596-A-1.png
132,无标题,无年代,无尺寸,无简介,无图片
133,清乾隆粉彩松鼠葡萄纹四方瓷瓶,清乾隆,口边长8.2，高32 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6601-D-1.png
134,清乾隆粉彩花果御题墨诗六角瓷笔筒,清乾隆,口边长9.7，高15 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6602-C-2.png
135,清道光绿彩折枝花卉纹六角瓷盆,清道光,通高15.5，口边长13 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6603-A-1.png
136,清道光墨彩云龙纹海棠形瓷盆,清道光,高10.5，阔22 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6604-A-1.png
137,无标题,无年代,无尺寸,无简介,无图片
138,无标题,无年代,无尺寸,无简介,无图片
139,无标题,无年代,无尺寸,无简介,无图片
140,清宣统粉彩三秋图玉壶春瓶,清宣统,高28.8，口径8.6，底径11.8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6611-A-1.png
141,西周愙鼎,西周,高23.2 ，口径19.9 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/07/30\3：54-A-01.jpg
142,西周青铜休盘,西周,口沿直径38.4，通高11.9，底30 厘米,"两附耳；圈足；口沿饰粗窃曲纹（雷纹作地）；圈足有弦纹一道；敞口窄缘、浅腹、环状双附耳、矮圈足。腹饰窃曲纹,雷纹地,圈足有弦纹一道。盘心铭文八行,计89字,为西周中晚期常见的册命金文,收册命赏赐者走马休。盘,古人用以盛水。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：57-A-2.png
143,秦大騩九斤铜权,秦始皇廿六年,高6，宽9.1 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/07/30\3：274-A-01.jpg
144,秦铁石权,秦廿六年,高17.9，底径24.8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/07/30\3：275-A-01.jpg
145,秦铜诏量,秦始皇廿六年,长23.1，宽10.8，高5.2 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/07/30\3：277-A-01.jpg
146,明洪武五年小铜炮（铳）,明洪武,长44.6，口径3.9 厘米,"棕黑色,两半合铸成,一面有圆孔,筒上刻字二行。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：712-A-1.png
147,元管军总管府铜印,元宋韩林儿龙凤五年(元顺帝至正19年，公元1359年),长8.2，高9.2，边厚1.7 厘米,"形态特征:扁方形印,正面刻篆书两直行,文曰“管军总管府印”背后凹刻真书左有龙凤五年正月日中书礼部造”右边有“营军总管府印”字样,中央竖立长方形扁柄,印左侧面,有“空字六十四号”等字全带薄绿锈。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：1664-A-1.png
148,明鎏金铜喇嘛塔,明,"通高32.7,宽19.3 厘米","塔由塔基、塔身、塔刹三部分组成,塔四周有瓷罐、五瓶、睡佛等。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：2106-A-1.png
149,明鎏金铜睡佛,明,长8.9 厘米,"直侧卧,右手弯曲当枕,侧面有铸孔。浇铸释迦牟尼像。肉螺髻,面像方圆,身着通肩大衣。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：2107-A-1.png
150,南朝人骑兽形铜灯,南朝,通高19.2，身长19 厘米,"神人长脸,垂耳高鼻,双目突出。头顶插入圆管状帽,帽顶为长方形片,中有一小孔,似用插物。上身裸露,下穿长裤,双手平举,骑于辟邪上。辟邪形似虎头狮身",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：3943-A-1.png
151,三国魏铜弩机,三国魏（正始二年）,高3.1，长11.8，宽3.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：3974-A-1.png
152,东汉铜大司农平合及斗检封,东汉永平三年（公元60年）,通长15.7，口4-4.5，底2.9，深2.2 厘米,"合呈是匙形,壁外侈,柄面背有铭文,端有一穿,近合处有一纵3.2横上3下2.8cm方穴;检封呈方斗状,底内外博形分等分,各铸阳文四字,上下边壁中部近底处各有一穿。斗检封可放置,合柄之右穴内。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：4433-1-A-1.png
153,清康熙铜砝码盒,清康熙十八年,长3.4，阔2.5，高5.2 厘米,"长方扁条形,共七只,分别刻有重量，贮在一铜盒内,分一只砝码为盖，铜盒四周刻有阴文楷书,三面为直行，一面为横行，共五十余字。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：4845-A-1.png
154,明末铅酒斗,明末,口纵10.0，口横10.0，高6.3 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：5106-A-1.png
155,战国铜䵻,战国,口径20.8，通高15.4 厘米,"素面微扁圆形，子母口，圆肩,圆腹平底,带盖,盖有提手，盖内中央有三直行阴文铭文9，腹沿处有一对称环行系。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：5186-A-1.png
156,四凤铜盘,西周,口纵88厘米，横84厘米，通高27厘米，底径63 厘米,"肩有双把,圆形,方唇、沿上铸四立凤、附耳、深腹、圈足、素面，单饰绳纹一周。",https://www.njmuseum.com/files/nb/collection/modify/2020/06/22/15928164525175四凤铜盘.png
157,西周提梁铜卣,西周,"口纵10.6,口横14.5,底径13.7,底横17,通把高28.2 厘米","椭圆形,深腹、圈足，有盖及提梁,梁柄端饰羊首，梁上饰长形夔纹，以云雷纹衬地,盖饰右一周圆珠纹与夔纹，用云雷纹衬地，中间以扉棱相隔,腹上部饰夔纹、云等,后一周圆珠纹。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：6276-A-1.png
158,秦铜权,秦,高15.2，最宽处19.7 厘米,"铜质,呈扁圆形器身一侧有铭文40字已模糊不清。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：6291-A-1.png
159,西周青铜铲,西周,长70，宽25.5 厘米,"铲身作撮箕状,后缘有鼻直立,柄中空,断面呈椭圆,上有脊。柄与铲身相接处,突出一圈。铲外壁两旁饰卷草纹。后沿在柄的两旁各有涡卷纹一组。柄端饰缠纹,其上缺口处饰卷草纹。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：6312-A-1.png
160,战国青铜瓿,战国,高7.4，直径9 厘米,"青铜铸制,部分焊接。器体形小,分内外两层,内层素身壶形,矮颈、反唇、圆肩、鼓腹、平底,底上有锉痕。外层分上下两截,错综复杂,铸造精工。上截边缘有四耳,中三缺,形立体,作兽面衔环状。此器造型精巧,花纹特殊,亦有浓厚的时代特色,可能为温酒之器。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：6317-A-1.png
161,战国青铜簠,战国,长30.9，宽23.7，高10.4 厘米,"簠作长方形,下有四足。两耳饰以兽头。全身均有花纹,颈腹为虺纹,足为雷纹变形,簠中有铭文两行八字。",https://www.njmuseum.com/files/nb/collection/modify/2020/11/09/16048893894613.jpg
162,明末清初汤天池铸仿云林山水铁画挂屏,明末清初,纵61.6，横43.3，厚6.3 厘米,"绢地铁铸山石树木,上一茅亭,远有山坡。为安徽芜湖著名民间工艺品,汤天池为此艺的开创者,负盛名。上有民国初年郑文焯题跋:“汤鹏字天池,明季芜湖锻工也,居以萧尺木邻,尝就其作画,思别构一格以胜之,乃以名家粉本锻铁雕作图绘嵌之屏幅,凡人物花鸟之属,扉不惟妙惟肖,尤以所制山水,苍劲有法,迥出笔墨之奇,时人争以高资购,赏叹为千古绝技。此帧意境高寒,林壑澹远,宛然一帧云林水墨,奇可翫也,京师季秋之变,故宫文物往往流落人间,此亦当时之片玉碎金。…”右下角有“瘦碧”一印,用红木匣屏装,上镶玻璃面。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：6449-A-1.png
163,唐菱花鸳鸯铜镜,唐,直径19.15 厘米,"菱花形边,圆钮,饰如意云纹、鸳鸯、莲花纹。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：6620-K-1.png
164,西周青铜尊,西周,"现口径20.8,足径16.2,腹深18.1,现高25.8 厘米","圆筒形,侈口、高颈、鼓腹、高圈足,腹部饰窄鸟纹带蟠虺纹一周,余为瓦纹,颈下部、圈足上部各有二周弦纹。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：6855-A-1.png
165,春秋铜戈,春秋,内长6，援长16.4，胡长6.5 厘米,胡身铸铭文20字。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：7043-A-1.png
166,春秋青铜簋,春秋,口径22.7，高9.9，底径16.8 厘米,"侈口、深腹、圈足,腹饰宽带曲纹一周,并有四对对称距双乳钉,上下为联珠纹一周,双系已残。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-3：7123-A-1.png
